miRNA_names,ΔCʀт.Mean,RQ,P.Value
ath-miR159a,-3.95,15.4,0.01
miR-100-3p,9.18,0.002,0.008
miR-101-3p,3.5,0.089,0.04
miR-106b-3p,2.87,0.137,0.027
miR-122-5p,5.66,0.02,0.011
miR-1249-3p,2.65,0.159,0.024
miR-125b-5p,2.65,0.159,0.041
miR-126-3p,3.79,0.072,0.018
miR-128-3p,2.92,0.132,0.032
miR-1282,-3.24,9.44,0.024
miR-1284,-3.35,10.2,0.021
miR-1293,-3.47,11.1,0.015
miR-1303,-2.69,6.47,0.039
miR-130a-3p,3.09,0.118,0.036
miR-130a-5p,-2.1,4.29,0.021
miR-130b-5p,3.3,0.102,0.016
miR-1324,-2.3,4.91,0.024
miR-135b-3p,-2.21,4.62,0.047
miR-138-1-3p,-3.19,9.11,0.016
miR-141-3p,-2.47,5.54,0.02
miR-144-3p,2.76,0.147,0.037
miR-145-5p,2.99,0.126,0.019
miR-146a-3p,-2.88,7.37,0.017
miR-152-3p,3.64,0.08,0.027
miR-153-3p,3.43,0.093,0.02
miR-15a-3p,3.31,0.101,0.043
miR-182-5p,2.95,0.129,0.041
miR-191-5p,2.99,0.126,0.031
miR-210-3p,2.61,0.163,0.047
miR-2110,2.62,0.163,0.035
miR-215-5p,3.56,0.085,0.036
miR-221-3p,3.85,0.07,0.018
miR-223-3p,3.47,0.09,0.03
miR-302b-3p,-1.31,2.48,0.045
miR-30e-5p,-4.68,25.5,0.029
miR-324-3p,1.8,0.288,0.044
miR-329-3p,-4.11,17.3,0.027
miR-331-3p,2.05,0.242,0.026
miR-338-5p,-3.95,15.5,0.025
miR-34b-3p,-1.82,3.53,0.043
miR-363-3p,3.01,0.124,0.044
miR-375,-2.14,4.41,0.025
miR-423-5p,3.09,0.118,0.039
miR-433-3p,3.12,0.115,0.026
miR-452-3p,-2.4,5.28,0.034
miR-485-5p,-3.84,14.3,0.02
miR-486-5p,5.16,0.028,0.007
miR-488-3p,-2.41,5.32,0.024
miR-509-3-5p,-2.11,4.3,0.031
miR-513c-5p,-2.03,4.08,0.019
miR-548a-3p,-2.04,4.12,0.02
miR-583,-2.49,5.6,0.025
miR-636,3.15,0.113,0.037
miR-645,-2.45,5.47,0.018
miR-652-3p,3.6,0.083,0.01
miR-708-5p,-1.96,3.89,0.028
miR-744-5p,3.29,0.102,0.014
miR-873-5p,-1.62,3.08,0.048
miR-9-3p,-1.91,3.76,0.03
miR-92a-3p,4.76,0.037,0.007
miR-93-3p,2.26,0.209,0.041
miR-93-5p,3.16,0.112,0.023
miR-941,3.08,0.119,0.015
miR-99a-5p,3.15,0.113,0.023
